Sensor ID,segment number,Xorig,Yorig,Zorig,Xend,Yend,Zend,Z Vector X Rel Angle,Z Vector Y Rel Angle,Z Vector Z Rel Angle
10576.775,0,-0.369205,-0.0382361,0.954677,-0.3770785,-0.0196237,1.131365,92.5374969,83.9925372,6.525185
10576.775,1,-0.369101,-0.0369571,0.959977,-0.3701787,0.0765649,0.9472256,90.5405227,6.4317484,96.4085946
10576.775,2,-0.369596,0.0776274,0.9318,-0.3433285,0.1131526,0.47551,86.7151813,85.5554533,174.4694785
10576.775,3,-0.343519,0.113299,0.4753,-0.3170239,0.1441034,0.077528,86.2005742,85.5814746,174.1673723
10576.775,4,-0.317073,0.144268,0.0760361,-0.2578509,0.1313329,0.000176,52.4191733,97.65501,141.37223
10576.775,5,-0.258042,0.131487,-0.0019161,-0.5219574,0.1993861,0.0282747,164.2748767,75.6616827,83.6781128
10576.775,6,-0.369204,-0.0382372,0.954675,-0.3681096,-0.1518686,0.9664096,89.4511038,174.078403,84.1042934
10576.775,7,-0.368177,-0.153556,0.96102,-0.369608,-0.1961833,0.5045846,90.1788519,95.3354532,174.6612507
10576.775,8,-0.369675,-0.197361,0.499679,-0.3434081,-0.2326658,0.1022656,86.2333386,95.0656366,173.6817749
10576.775,9,-0.343383,-0.232995,0.100726,-0.2687395,-0.2098971,0.043071,39.763334,76.2393759,126.423004
10576.775,10,-0.268957,-0.209918,0.0429637,-0.533928,-0.2679333,0.0029925,165.1104587,102.2160156,98.3827974
10576.775,11,-0.378423,-0.0160373,1.17008,-0.3802611,-0.0125219,1.3391095,90.6229091,88.8086146,1.3437359
10576.775,12,-0.380925,-0.0101201,1.3584,-0.3774514,-0.0202725,1.5282794,88.8307125,93.4193444,3.6143236
10576.775,13,-0.37705,-0.0181968,1.52862,-0.3889982,-0.0274175,1.6706212,94.7995663,93.7021698,6.0669907
10576.775,14,-0.389051,-0.0274422,1.67084,-0.4490748,-0.0541981,1.9499517,102.0830328,95.3540291,13.2490647
